datetime,platform,username,candidate_name,text,comment_count,view_count,like_count,url,num_interaction
2024-01-02 21:07:45,instagram,Renán Barrera,Xóchitl Gálvez,"¡Bienvenida @xochitlgalvez a #Yucatán!

Estamos listos y vamos con todo para cerrar con fuerza esta precampaña, gracias por acompañarnos, en Yucatán somos un solo equipo.",0,0,0,https://www.instagram.com/p/C1nMXI5pXsx/,1334
2024-01-02 21:09:21,instagram,Michelle Fridman,Xóchitl Gálvez,"Un gusto recibir en @yucatanturismo a @xochitlgalvez y platicar sobre las estrategias que nos han llevado, con éxito e indicadores récord, a un desarrollo turístico sostenible en nuestro estado.",0,0,0,https://www.instagram.com/p/C1nMi3gxzYp/,692
2024-01-02 21:11:12,instagram,Armando Víctor Gutiérrez,Jorge Álvarez Máynez,"Seguimos pintando Agualeguas de Naranja.

Ya llegó lo nuevo y a nuestra comunidad le va ir bien. 

Lo viejo ya se va. 

#lonuevo #mc #movimiemtonaranja 

Mensaje dirigido a la asamblea electoral de Movimiento Ciudadano, a sus militantes y Simpatizantes",0,0,0,https://www.instagram.com/p/C1nMwXuy3yw/,104
2024-01-02 21:14:14,instagram,CDE PRI Jalisco,Xóchitl Gálvez,"¡Empezamos el 2024 con todo! Mañana nos acompaña nuestra amiga @xochitlgalvez en el estado ¡Ya estamos listos! 

Nuestro presidente @santopadilla encabezó la primera reunión del año junto a alcaldes, líderes de sectores y organizaciones, y diputados y diputadas locales, nuestra familia priista afinando los últimos detalles y partiendo la tradicional rosca. 

#PorJaliscoTodo",0,0,0,https://www.instagram.com/p/C1nNGivu8XZ/,55
2024-01-02 21:33:03,instagram,Paola Gárate,Xóchitl Gálvez,El 2024 es el año para defender a México y a Sinaloa; en el Comité Municipal de Ahome ya estamos con los preparativos para recibir con #FuerzaYCorazón a nuestra precandidata @xochitlgalvez,0,0,0,https://www.instagram.com/p/C1nPQbgxZwD/,22
2024-01-02 21:38:08,instagram,Paola Gárate,Xóchitl Gálvez,"PRI, PAN, PRD y PAS unidos con #FuerzaYCorazón para defender a Sinaloa y a México, preparamos en Ahome la visita de nuestra precandidata @xochitlgalvez.",0,0,0,https://www.instagram.com/p/C1nP1rAxPAB/,36
2024-01-02 21:51:51,instagram,Santiago Creel Miranda,Xóchitl Gálvez,"¡En equipo con @xochitlgalvez, @renanbarreraconcha y @ceciliapatronl vamos a seguir con los buenos gobiernos de @accionnacional! 

¡#Yucatán es un claro ejemplo de que #MerecesMás! #GanaYucatán, ¡gana el PAN!",0,0,0,https://www.instagram.com/p/C1nRaHQvhJd/,825
2024-01-02 22:09:20,instagram,Prismamoda,Jorge Álvarez Máynez,"💪 ¡Eleva tu estilo con lo último en calzado de #Everlast! 👑✨

#ActiveElegance #lonuevo #EverlastEmpower",0,0,0,https://www.instagram.com/p/C1nTaJhOAnb/,232
2024-01-02 22:47:52,instagram,Gustavo Macías Zambrano,Xóchitl Gálvez,"Las y los esperamos el día de mañana al cierre de campaña de @xochitlgalvez y @lauraharo, la cita es en Plaza de la República, entre Chapultepec y Avenida México, vamos juntos a apoyar a estas dos grandes líderes y mujeres que gobernarán Jalisco y México. 🤞🏻✌🏽💪🤩",0,0,0,https://www.instagram.com/p/C1nX0UvsPQi/,29
2024-01-02 23:01:42,instagram,Roy Brown,Jorge Álvarez Máynez,"¡Empezamos el año cantando!🎶😁

El 28 de este mes vamos a estar en el centro Comunitario barrio Malpaso en Aguada a las 7:30pm👣🎤

#roybrown 
#musica #puertorico #concierto #pr #trova #lonuevo #roybrownpr #canciones #aguada",0,0,0,https://www.instagram.com/p/C1nZZUKtYXC/,16
2024-01-03 00:17:17,instagram,Mauricio Vila,Xóchitl Gálvez,Me dio mucho gusto recibir a @xochitlgalvez y a @markocortesm junto con @renanbarreraconcha y @ceciliapatronl. Coincidimos en la necesidad de trabajar en equipo con todas y todos para hacer más cambios y seguir transformando #Yucatán.,0,0,0,https://www.instagram.com/p/C1niDU0LYPI/,2722
2024-01-03 00:31:40,instagram,Hortensia Noroña,Xóchitl Gálvez,Nos vemos mañana!!! Un gran día la #esperanza ya cambió de lado !!! @xochitlgalvez @lauraharo,0,0,0,https://www.instagram.com/p/C1njsonO4Rq/,17
2024-01-03 00:36:28,instagram,Memeflix,Claudia Sheinbaum,Ya llegó la actualización de 2024. TRAAAAKA. 💋,0,0,0,https://www.instagram.com/p/C1nkPyVMwAc/,23541
2024-01-03 00:37:36,instagram,Kenia López Rabadán,Xóchitl Gálvez,Con @mauvila en Yucatán ¡@xochitlgalvez a ganar!,0,0,0,https://www.instagram.com/p/C1nkYHtNOpg/,953
2024-01-03 01:19:16,instagram,Joaquín López-Dóriga,Xóchitl Gálvez,"Alejandro Quintero responde a @lopezobrador y desmiente que forme parte de la campaña de @xochitlgalvez o de cualquier otra. Ni vive, me dice, en México.

Más en lopezdoriga.com",0,0,0,https://www.instagram.com/p/C1npJOjtFrK/,2810
2024-01-03 01:20:07,instagram,Julio Astillero,Claudia Sheinbaum,"#AstilleroInforma | VIDEO: Proyecto de Claudia en materia de educación pública es más ambicioso que el de AMLO: Renata Turrent

Ve la entrevista en YouTube.com/JulioAstillero

#AMLO #Morena #Sheinbaum #educaciópública",0,0,0,https://www.instagram.com/p/C1npPgqpnZE/,411
2024-01-03 01:47:04,instagram,Latinus,Xóchitl Gálvez,"Durante un evento en Yucatán, la candidata presidencial del @pri_nacional, @prdmexico y @accionnacional, @xochitlgalvez aseguró que “todos se quieren venir a vivir a Yucatán”, porque “Yucatán es el estado más seguro y eso se lo debemos a los gobiernos del PAN”.
#Latinus #InformaciónParaTi",0,0,0,https://www.instagram.com/p/C1nsU6eMwiy/,14523
